,canton_code,canton,month,language,gender,time_period,count,sentiment
95,AG,Aargau,2,English,Unknown,Day,34,0.17647058823529413
96,AG,Aargau,3,English,Female,Day,31,0.2258064516129032
97,AG,Aargau,8,German,Female,Night,3,1.0
98,AG,Aargau,4,English,Unknown,Night,38,0.5
99,AG,Aargau,5,English,Female,Night,10,0.2
100,AG,Aargau,1,German,Male,Night,2,1.0
101,AG,Aargau,9,German,Unknown,Day,13,1.0
102,AG,Aargau,6,English,Unknown,Day,78,0.14102564102564102
103,AG,Aargau,10,English,Male,Day,45,0.04444444444444445
104,AG,Aargau,7,English,Female,Day,8,0.0
105,AG,Aargau,3,German,Male,Day,54,0.8148148148148148
106,AG,Aargau,8,English,Unknown,Night,5189,0.2110233185584891
107,AG,Aargau,9,English,Female,Night,9,0.2222222222222222
108,AG,Aargau,5,German,Male,Night,2,1.0
109,AG,Aargau,2,English,Male,Night,37,0.08108108108108109
110,AG,Aargau,7,German,Male,Day,4,1.0
111,AG,Aargau,4,English,Male,Day,101,0.0891089108910891
112,AG,Aargau,10,German,Unknown,Night,7,1.0
113,AG,Aargau,6,English,Male,Night,31,0.2258064516129032
114,AG,Aargau,1,German,Female,Night,3,1.0
115,BS,Basel-City,7,English,Male,Day,2764,0.16316931982633864
116,BS,Basel-City,9,French,Unknown,Night,2,1.0
117,BS,Basel-City,1,German,Unknown,Day,585,0.8735042735042735
118,BS,Basel-City,2,German,Female,Day,161,0.9503105590062112
119,BS,Basel-City,3,French,Male,Night,15,0.7333333333333333
120,BS,Basel-City,10,English,Unknown,Night,10407,0.1539348515422312
121,BS,Basel-City,9,English,Male,Night,2016,0.17063492063492064
122,BS,Basel-City,3,German,Unknown,Night,766,0.9347258485639688
123,BS,Basel-City,4,German,Female,Night,145,0.8206896551724138
124,BS,Basel-City,1,English,Female,Night,293,0.020477815699658702
125,BS,Basel-City,5,French,Male,Day,38,0.6842105263157895
126,BS,Basel-City,5,German,Unknown,Day,1756,0.9328018223234624
127,BS,Basel-City,2,English,Unknown,Day,5423,0.10473907431311084
128,BS,Basel-City,6,German,Female,Day,301,0.813953488372093
129,BS,Basel-City,3,English,Female,Day,946,0.2389006342494715
130,BS,Basel-City,7,French,Male,Night,5,1.0
131,BS,Basel-City,7,German,Unknown,Night,71,0.8591549295774648
132,BS,Basel-City,4,English,Unknown,Night,3738,0.13830925628678434
133,BS,Basel-City,8,German,Female,Night,86,0.9302325581395348
